,Name,Sponsor,City,State,Area,ZIP,Hardiness,address,lon,lat
1,Georgeson Botanical Garden,University of Alaska Fairbanks,Fairbanks,AK,5,99701,2a,"Fairbanks ,  AK",-147.7163888,64.8377778
2,Alaska Botanical Garden,NA,Anchorage,AK,110,99501,4b,"Anchorage ,  AK",-149.9002778,61.2180556
3,Jensen-Olson Arboretum,City and Borough of Juneau,Juneau,AK,14,99801,6b,"Juneau ,  AK",-134.4197221,58.3019444
4,Blue Springs Heritage Center,NA,Eureka Springs,AR,33,72631,6b,"Eureka Springs ,  AR",-93.7379711,36.4011825
5,Botanical Garden of the Ozarks,NA,Fayetteville,AR,40,72701,6b,"Fayetteville ,  AR",-94.1718542,36.082156
6,Garvan Woodland Gardens,University of Arkansas Division of Agriculture,Hot Springs,AR,210,71901,7b,"Hot Springs ,  AR",-93.0551795,34.5037004
7,South Arkansas Arboretum,South Arkansas Community College,El Dorado,AR,13,71730,8a,"El Dorado ,  AR",-92.6662674,33.20763
8,Arkansas Arboretum,Pinnacle Mountain State Park,Little Rock,AR,71,72201,8a,"Little Rock ,  AR",-92.2895948,34.7464809
9,The Arboretum at Flagstaff,NA,Flagstaff,AZ,200,86001,6a,"Flagstaff ,  AZ",-111.651302,35.1982836
10,Navajo Nation Zoological and Botanical Park,Navajo Nation,Window Rock,AZ,14.7,86515,6a,"Window Rock ,  AZ",-109.0525929,35.680573
11,Forever Ranch and Gardens,NA,Near Yucca,AZ,40,86438,9a,"Near Yucca ,  AZ",-114.1494117,34.8722245
12,Desert Botanical Garden,NA,Phoenix,AZ,140,85003,9b,"Phoenix ,  AZ",-112.0740373,33.4483771
13,Boyce Thompson Arboretum State Park,NA,Superior,AZ,392,85173,9b,"Superior ,  AZ",-111.0962305,33.293945
14,Arboretum at Arizona State University,Arizona State University,Tempe,AZ,NA,85280,9b,"Tempe ,  AZ",-111.9400054,33.4255104
15,Arizona-Sonora Desert Museum,NA,Tucson,AZ,98,85701,9b,"Tucson ,  AZ",-110.9747108,32.2226066
16,Tohono Chul Park,NA,Tucson,AZ,49,85701,9b,"Tucson ,  AZ",-110.9747108,32.2226066
17,Tucson Botanical Gardens,NA,Tucson,AZ,5.5,85701,9b,"Tucson ,  AZ",-110.9747108,32.2226066
18,University of Arizona Campus Arboretum,University of Arizona,Tucson,AZ,NA,85701,9b,"Tucson ,  AZ",-110.9747108,32.2226066
19,Los Angeles County Arboretum and Botanic Garden,Los Angeles Arboretum Foundation,Arcadia,CA,127,91006,10a,"Arcadia ,  CA",-118.0353449,34.1397292
20,Regional Parks Botanic Garden,Tilden Regional Park,Berkeley,CA,10,94701,10a,"Berkeley ,  CA",-122.272747,37.8715926
21,Marin-Bolinas Botanical Gardens,NA,Bolinas,CA,14,94924,10a,"Bolinas ,  CA",-122.6863733,37.9093702
22,Harland Hand Memorial Garden,NA,El Cerrito,CA,0.5,94530,10a,"El Cerrito ,  CA",-122.310765,37.9161326
23,San Diego Botanic Garden (formerly Quail Botanical Gardens),NA,Encinitas,CA,37,92023,10a,"Encinitas ,  CA",-117.2919818,33.0369867
24,Fullerton Arboretum,California State University,Fullerton,CA,26,92831,10a,"Fullerton ,  CA",-117.9242123,33.8703645
25,University of California Irvine Arboretum,University of California,Irvine,CA,12.5,92602,10a,"Irvine ,  CA",-117.8265049,33.6845673
26,Blake Garden,University of California Berkeley,Kensington,CA,10.6,94708,10a,"Kensington ,  CA",-122.2802471,37.9104805
27,Descanso Gardens,NA,La Cañada Flintridge,CA,150,91011,10a,"La Cañada Flintridge ,  CA",-118.2000277,34.2068182
28,Edgewood Botanic Garden,NA,Mill Valley,CA,1,94941,10a,"Mill Valley ,  CA",-122.5449763,37.9060368
29,Lotusland,NA,Montecito,CA,37,93108,10a,"Montecito ,  CA",-119.6320753,34.4366626
30,Labadie Arboretum,Merritt College,Oakland,CA,7.5,94601,10a,"Oakland ,  CA",-122.2711137,37.8043637
31,University of California Botanical Garden,University of California Berkeley,Oakland,CA,34,94601,10a,"Oakland ,  CA",-122.2711137,37.8043637
32,William Joseph McInnes Botanic Garden and Campus Arboretum,Mills College,Oakland,CA,NA,94601,10a,"Oakland ,  CA",-122.2711137,37.8043637
33,Living Desert Zoo and Gardens,NA,Palm Desert,CA,1800,92210,10a,"Palm Desert ,  CA",-116.3744556,33.7222445
34,Arlington Garden,NA,Pasadena,CA,3,91101,10a,"Pasadena ,  CA",-118.1445155,34.1477849
35,Palomar College Arboretum,Palomar College,San Marcos,CA,5,92069,10a,"San Marcos ,  CA",-117.1661449,33.1433723
36,Huntington Botanical Gardens,NA,San Marino,CA,120,91108,10a,"San Marino ,  CA",-118.1064585,34.121397
37,San Mateo Arboretum,NA,San Mateo,CA,16,94401,10a,"San Mateo ,  CA",-122.3255254,37.5629917
38,Santa Barbara Botanic Garden,NA,Santa Barbara,CA,78,93101,10a,"Santa Barbara ,  CA",-119.6981901,34.4208305
